id,titulo,tipo,genero,ano,rating,duracion,plataforma,idioma,pais,director,clasificacion,votos,presupuesto,ingresos,ganancias,actor_principal,estudio,fecha_estreno,sinopsis
16088,El despertar de la base de datos Vol. 2,Película,Drama,1994,5.8,80,HBO Max,Portugués,Francia,Guillermo del Toro,G,550473,6.6,17.9,11.3,Matthew McConaughey,Walt Disney Studios,1994-11-20,Un misterio escalofriante que desvela secretos familiares ocultos.
16089,Forrest Git Vol. 1,Película,Fantasía,1980,4.5,133,Apple TV+,Inglés,España,Christopher Nolan,PG,611062,61.8,270.2,208.4,Morgan Freeman,Walt Disney Studios,1980-01-25,Un misterio escalofriante que desvela secretos familiares ocultos.
16090,El Padrino del código (2025),Serie,"Documental, Fantasía",2025,9.2,56,Apple TV+,Portugués,Francia,Martin Scorsese,PG-13,2206813,178.1,424.0,245.9,Matthew McConaughey,Marvel Studios,2025-08-14,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16091,Pulp Python (1998),Serie,"Romance, Aventura, Drama",1998,9.4,20,Prime Video,Alemán,Reino Unido,Steven Spielberg,R,2082198,224.0,127.1,-96.9,Brad Pitt,Paramount Pictures,1998-08-09,Un análisis profundo del impacto social e histórico de las grandes eras.
16092,El silencio de los compiladores (2023),Película,Comedia,2023,5.8,143,"Netflix, Apple TV+",Portugués,Canadá,Steven Spielberg,R,1574498,79.7,144.5,64.8,Robert Downey Jr.,Paramount Pictures,2023-12-12,Un viaje fantástico a través de dimensiones inexploradas del universo.
16093,La teoría de las bases de datos Vol. 1,Serie,"C.Ficción, Acción",2013,7.2,61,"Prime Video, Apple TV+",Alemán,Japón,Steven Spielberg,PG-13,572008,95.5,192.2,96.7,Morgan Freeman,Columbia Pictures,2013-06-14,Un drama conmovedor que explora los límites de la mente y la tecnología.
16094,Batman: El programador de la noche Vol. 4,Serie,"Documental, Terror, Acción",2021,9.7,27,Disney+,Español,Francia,Quentin Tarantino,PG-13,1177359,27.0,89.9,62.9,Robert Downey Jr.,A24,2021-12-21,Un drama conmovedor que explora los límites de la mente y la tecnología.
16095,El Club de la Computación Vol. 3,Serie,"Terror, Drama",1981,7.3,42,"HBO Max, Apple TV+",Español,México,Martin Scorsese,NC-17,2132827,159.8,556.0,396.2,Scarlett Johansson,Marvel Studios,1981-09-17,Un análisis profundo del impacto social e histórico de las grandes eras.
16096,El rey algoritmo (2021),Serie,Terror,2021,7.7,60,Prime Video,Francés,Francia,Quentin Tarantino,R,531775,15.3,10.7,-4.6,Morgan Freeman,Walt Disney Studios,2021-11-17,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16097,El Club de la Computación Vol. 3,Película,Documental,1971,6.6,130,Disney+,Francés,Canadá,Martin Scorsese,PG-13,724355,101.4,419.7,318.3,Leonardo DiCaprio,Paramount Pictures,1971-10-26,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16098,El Heatmap del Destino Vol. 1,Serie,"Fantasía, C.Ficción",1992,2.6,47,Apple TV+,Portugués,Reino Unido,Quentin Tarantino,PG,1874303,214.7,420.8,206.1,Robert Downey Jr.,A24,1992-02-15,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16099,Búsqueda Binaria (2010),Serie,C.Ficción,2010,5.6,29,Disney+,Español,México,Steven Spielberg,PG-13,2385628,10.6,46.6,36.0,Robert Downey Jr.,Warner Bros.,2010-07-06,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16100,Batman: El programador de la noche Vol. 1,Serie,"Terror, Acción, Suspenso",1972,8.5,36,Prime Video,Inglés,Francia,Guillermo del Toro,NC-17,115520,142.6,490.1,347.5,Tom Hanks,Warner Bros.,1972-07-01,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16101,FastAPI veloz Vol. 4,Película,"Romance, C.Ficción, Crimen",2021,6.0,159,"Disney+, HBO Max",Alemán,Canadá,Martin Scorsese,NC-17,341168,238.0,522.6,284.6,Christian Bale,Warner Bros.,2021-06-25,Un análisis profundo del impacto social e histórico de las grandes eras.
16102,El Heatmap del Destino Vol. 3,Película,"Drama, Suspenso",1994,9.2,133,"Netflix, Prime Video",Portugués,Reino Unido,Guillermo del Toro,PG,539199,47.5,200.3,152.8,Robert Downey Jr.,Universal Pictures,1994-02-08,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16103,Los señores del algoritmo (1982),Película,Drama,1982,7.4,85,"HBO Max, Apple TV+",Francés,España,Guillermo del Toro,PG,2168747,187.5,420.9,233.4,Matthew McConaughey,Walt Disney Studios,1982-02-19,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16104,Juego de Servidores Vol. 3,Serie,"Acción, Romance",2018,9.6,62,"Disney+, Apple TV+",Francés,Canadá,Quentin Tarantino,PG-13,679780,106.1,405.3,299.2,Cillian Murphy,Paramount Pictures,2018-04-18,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16105,Pulp Python (2003),Serie,Comedia,2003,5.1,59,Apple TV+,Alemán,México,Quentin Tarantino,PG,1162878,14.3,34.2,19.9,Scarlett Johansson,A24,2003-10-16,Un análisis profundo del impacto social e histórico de las grandes eras.
16106,El Resplandor del Monitor Vol. 2,Película,"Documental, Aventura",1973,6.6,137,Prime Video,Francés,México,James Cameron,PG,2107556,31.7,134.2,102.5,Natalie Portman,Warner Bros.,1973-04-20,Un drama conmovedor que explora los límites de la mente y la tecnología.
16107,FastAPI veloz (2016),Película,"Acción, Terror, C.Ficción",2016,6.2,113,"Netflix, Apple TV+",Inglés,Japón,Martin Scorsese,R,1087606,47.9,169.0,121.1,Scarlett Johansson,Universal Pictures,2016-08-02,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16108,La lista de bugs Vol. 3,Serie,"Romance, C.Ficción",2003,8.3,34,"Disney+, Apple TV+",Portugués,España,Christopher Nolan,R,1186712,237.2,336.7,99.5,Scarlett Johansson,Walt Disney Studios,2003-04-17,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16109,Pandas salvajes (2000),Serie,"Drama, Fantasía",2000,9.4,49,Apple TV+,Portugués,Reino Unido,Guillermo del Toro,G,832062,247.1,1024.2,777.1,Leonardo DiCaprio,A24,2000-09-02,Un drama conmovedor que explora los límites de la mente y la tecnología.
16110,La milla de código (2010),Película,"Documental, Drama, Romance",2010,6.0,132,Netflix,Español,Japón,Hayao Miyazaki,G,2471507,248.2,453.1,204.9,Brad Pitt,Netflix Studio,2010-11-26,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16111,La red de la IA Vol. 2,Serie,Comedia,2001,4.8,39,Disney+,Francés,Francia,Quentin Tarantino,R,354819,172.0,394.6,222.6,Morgan Freeman,Walt Disney Studios,2001-12-20,Un misterio escalofriante que desvela secretos familiares ocultos.
16112,Django desencadenado Vol. 4,Película,Drama,2010,6.2,127,"Prime Video, Apple TV+",Portugués,Japón,Quentin Tarantino,NC-17,1730420,13.4,43.0,29.6,Cillian Murphy,A24,2010-12-06,Un análisis profundo del impacto social e histórico de las grandes eras.
16113,El secreto de los datos Vol. 2,Serie,"Fantasía, Acción",1999,5.0,38,Netflix,Francés,USA,Martin Scorsese,PG-13,52471,22.3,88.7,66.4,Cillian Murphy,Walt Disney Studios,1999-07-28,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16114,Stranger Code (2008),Serie,Acción,2008,9.2,26,"Netflix, Disney+",Portugués,USA,Denis Villeneuve,R,449512,76.9,186.1,109.2,Matthew McConaughey,Columbia Pictures,2008-09-11,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16115,El silencio de los compiladores (2011),Serie,"Romance, Comedia, Terror",2011,8.7,24,HBO Max,Alemán,USA,James Cameron,G,1082838,69.6,35.2,-34.4,Robert Downey Jr.,Universal Pictures,2011-09-02,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16116,La teoría de las bases de datos Vol. 2,Serie,"Aventura, Acción",2018,6.9,23,Apple TV+,Portugués,Francia,James Cameron,NC-17,1411828,218.1,561.6,343.5,Brad Pitt,Universal Pictures,2018-11-20,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16117,La terminal de los secretos (1970),Película,"Fantasía, Aventura, Drama",1970,9.2,132,"HBO Max, Disney+",Alemán,Reino Unido,Steven Spielberg,NC-17,2100053,228.6,241.0,12.4,Leonardo DiCaprio,Universal Pictures,1970-11-26,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16118,SQL: El Imperio Contraataca (2021),Serie,Terror,2021,6.8,31,"Prime Video, Netflix",Inglés,USA,Hayao Miyazaki,PG-13,444826,41.9,23.8,-18.1,Matthew McConaughey,Universal Pictures,2021-09-08,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16119,El Padrino del código Vol. 1,Película,Drama,1983,9.2,126,"HBO Max, Netflix",Francés,USA,James Cameron,R,2334134,21.1,71.2,50.1,Cillian Murphy,Marvel Studios,1983-01-28,Un drama conmovedor que explora los límites de la mente y la tecnología.
16120,La teoría de las bases de datos Vol. 4,Película,"Aventura, Crimen",2012,9.7,106,Disney+,Inglés,Reino Unido,Christopher Nolan,PG,1559859,73.2,125.4,52.2,Morgan Freeman,Columbia Pictures,2012-01-15,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16121,Crónicas de Git Vol. 1,Serie,Fantasía,1997,5.0,44,"Apple TV+, Netflix",Español,México,Denis Villeneuve,PG,2074121,55.0,146.2,91.2,Leonardo DiCaprio,Netflix Studio,1997-03-16,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16122,Interstellar II Vol. 1,Serie,"Crimen, Terror, Romance",1989,8.7,40,Prime Video,Alemán,Reino Unido,Martin Scorsese,NC-17,1333135,22.1,95.3,73.2,Joaquin Phoenix,Paramount Pictures,1989-05-05,Un análisis profundo del impacto social e histórico de las grandes eras.
16123,FastAPI veloz Vol. 1,Serie,"Fantasía, Documental",1982,6.0,65,"HBO Max, Netflix",Inglés,Japón,Hayao Miyazaki,NC-17,22201,41.2,105.5,64.3,Scarlett Johansson,Walt Disney Studios,1982-08-06,Un viaje fantástico a través de dimensiones inexploradas del universo.
16124,En busca del commit perdido (1991),Serie,Suspenso,1991,7.4,31,"Prime Video, Apple TV+",Español,Japón,Quentin Tarantino,NC-17,2151602,185.0,295.0,110.0,Tom Hanks,Netflix Studio,1991-10-08,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16125,Django desencadenado (1990),Serie,"Documental, Romance, Acción",1990,9.1,65,"Disney+, Prime Video",Español,Canadá,Denis Villeneuve,G,1883346,74.9,77.5,2.6,Brad Pitt,Universal Pictures,1990-11-24,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16126,En busca del commit perdido Vol. 2,Película,C.Ficción,1979,6.5,143,"Netflix, Apple TV+",Portugués,Reino Unido,Martin Scorsese,PG-13,254869,136.8,525.1,388.3,Matthew McConaughey,Netflix Studio,1979-03-18,Un misterio escalofriante que desvela secretos familiares ocultos.
16127,Pandas salvajes Vol. 4,Película,"Acción, Fantasía",1998,7.0,192,"Apple TV+, Disney+",Alemán,USA,James Cameron,R,442766,203.8,668.1,464.3,Natalie Portman,Columbia Pictures,1998-01-04,Un drama conmovedor que explora los límites de la mente y la tecnología.
16128,Forrest Git (1975),Película,"Fantasía, Romance",1975,7.8,119,"Prime Video, HBO Max",Español,USA,Christopher Nolan,G,255900,188.5,236.4,47.9,Christian Bale,Walt Disney Studios,1975-10-11,Un viaje fantástico a través de dimensiones inexploradas del universo.
16129,Crónicas de Git (1982),Serie,"Terror, Drama",1982,9.6,48,Apple TV+,Portugués,México,Guillermo del Toro,PG,1271355,161.2,203.5,42.3,Leonardo DiCaprio,Netflix Studio,1982-09-23,Un drama conmovedor que explora los límites de la mente y la tecnología.
16130,La casa de código (2003),Película,Romance,2003,7.7,160,"Netflix, Apple TV+",Inglés,Canadá,Quentin Tarantino,PG-13,865216,231.8,778.2,546.4,Leonardo DiCaprio,Columbia Pictures,2003-04-07,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16131,El silencio de los compiladores (1974),Película,Aventura,1974,8.4,177,HBO Max,Inglés,México,Christopher Nolan,NC-17,1731931,88.7,317.4,228.7,Joaquin Phoenix,Universal Pictures,1974-08-17,Un misterio escalofriante que desvela secretos familiares ocultos.
16132,La teoría de las bases de datos (1971),Película,"Romance, Acción, Drama",1971,5.3,101,Apple TV+,Inglés,Reino Unido,Martin Scorsese,R,253403,152.9,462.5,309.6,Scarlett Johansson,Netflix Studio,1971-04-22,Un drama conmovedor que explora los límites de la mente y la tecnología.
16133,El despertar de la base de datos (2021),Serie,C.Ficción,2021,6.8,60,HBO Max,Alemán,Reino Unido,Denis Villeneuve,NC-17,1709354,71.6,68.9,-2.7,Tom Hanks,Paramount Pictures,2021-01-21,Un análisis profundo del impacto social e histórico de las grandes eras.
16134,El rey algoritmo (2007),Serie,"Documental, Romance, Terror",2007,7.1,32,"Disney+, Netflix",Francés,Francia,Quentin Tarantino,NC-17,2317301,174.8,347.0,172.2,Natalie Portman,Marvel Studios,2007-06-26,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16135,La casa de código (2001),Serie,"Drama, Suspenso",2001,7.2,62,"Prime Video, Apple TV+",Español,Canadá,Denis Villeneuve,G,126178,24.7,70.3,45.6,Brad Pitt,Warner Bros.,2001-07-26,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16136,Avatar: Renderizado (1988),Serie,"Suspenso, Fantasía, C.Ficción",1988,2.3,42,"Netflix, Disney+",Alemán,España,Guillermo del Toro,R,433755,244.9,658.7,413.8,Tom Hanks,A24,1988-01-21,Un análisis profundo del impacto social e histórico de las grandes eras.
16137,La teoría de las bases de datos Vol. 1,Serie,"Aventura, Drama, Acción",1981,6.0,34,HBO Max,Inglés,Francia,Denis Villeneuve,R,647169,229.2,931.8,702.6,Robert Downey Jr.,Warner Bros.,1981-05-05,Un drama conmovedor que explora los límites de la mente y la tecnología.
16138,El secreto de los datos Vol. 2,Serie,"Documental, Fantasía, Comedia",2011,8.1,62,Apple TV+,Inglés,España,Hayao Miyazaki,R,1509240,150.9,298.2,147.3,Cillian Murphy,Columbia Pictures,2011-03-23,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16139,Donut Chart Adventure Vol. 3,Serie,Documental,1977,7.9,27,"Disney+, Apple TV+",Inglés,USA,Denis Villeneuve,PG-13,1282485,235.2,445.1,209.9,Brad Pitt,Walt Disney Studios,1977-07-18,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16140,Crónicas de Git Vol. 1,Serie,"Aventura, Comedia, Documental",2011,5.9,23,Apple TV+,Francés,Japón,Steven Spielberg,PG-13,1801779,37.5,33.6,-3.9,Brad Pitt,Columbia Pictures,2011-02-27,Un análisis profundo del impacto social e histórico de las grandes eras.
16141,El despertar de la base de datos Vol. 2,Serie,"Drama, Acción",2019,4.2,27,Apple TV+,Francés,Japón,Guillermo del Toro,G,2255651,59.4,253.2,193.8,Christian Bale,Universal Pictures,2019-07-08,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16142,La milla de código Vol. 3,Serie,"Documental, Crimen, Drama",2013,6.4,58,"HBO Max, Netflix",Inglés,Japón,James Cameron,R,1548456,33.3,50.5,17.2,Cillian Murphy,Marvel Studios,2013-03-24,Un viaje fantástico a través de dimensiones inexploradas del universo.
16143,Pandas salvajes (2001),Serie,"Acción, Documental, Romance",2001,4.9,44,"HBO Max, Disney+",Francés,Reino Unido,Christopher Nolan,G,1638417,118.5,513.4,394.9,Scarlett Johansson,Columbia Pictures,2001-12-14,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16144,La casa de código (1993),Película,"Acción, Romance",1993,8.1,170,HBO Max,Portugués,España,Hayao Miyazaki,PG-13,188733,176.7,752.4,575.7,Leonardo DiCaprio,Universal Pictures,1993-01-26,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16145,Cazadores de código Vol. 4,Serie,Fantasía,1998,5.0,35,"Prime Video, HBO Max",Francés,Francia,Guillermo del Toro,R,345049,27.4,86.1,58.7,Robert Downey Jr.,Universal Pictures,1998-01-10,Un viaje fantástico a través de dimensiones inexploradas del universo.
16146,En busca del commit perdido Vol. 2,Película,"Crimen, Aventura",1991,7.1,133,"Apple TV+, HBO Max",Inglés,Japón,Steven Spielberg,R,2150650,49.5,131.8,82.3,Natalie Portman,Columbia Pictures,1991-02-23,Un viaje fantástico a través de dimensiones inexploradas del universo.
16147,Interstellar II (1970),Película,"C.Ficción, Acción",1970,5.9,109,Netflix,Inglés,USA,Hayao Miyazaki,NC-17,774215,225.6,407.4,181.8,Cillian Murphy,Paramount Pictures,1970-05-13,Un viaje fantástico a través de dimensiones inexploradas del universo.
16148,Batman: El programador de la noche (1997),Serie,Fantasía,1997,4.8,25,"Apple TV+, HBO Max",Alemán,Canadá,Hayao Miyazaki,NC-17,942054,149.7,344.2,194.5,Morgan Freeman,Marvel Studios,1997-11-22,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16149,Código de honor (1993),Serie,"Aventura, Terror, Fantasía",1993,7.2,62,HBO Max,Portugués,México,Steven Spielberg,PG,2268045,115.1,125.5,10.4,Scarlett Johansson,Marvel Studios,1993-07-19,Un drama conmovedor que explora los límites de la mente y la tecnología.
16150,Pandas salvajes Vol. 4,Película,"Comedia, Romance, Suspenso",2003,5.6,145,Disney+,Inglés,España,Christopher Nolan,PG-13,769409,189.4,650.5,461.1,Meryl Streep,Netflix Studio,2003-11-28,Un viaje fantástico a través de dimensiones inexploradas del universo.
16151,Stranger Code (2009),Película,"Fantasía, Comedia, Terror",2009,5.6,105,Netflix,Francés,España,Quentin Tarantino,G,1066141,98.2,269.2,171.0,Morgan Freeman,Paramount Pictures,2009-01-05,Un análisis profundo del impacto social e histórico de las grandes eras.
16152,La lista de bugs (1999),Película,"Comedia, Suspenso",1999,5.5,100,"HBO Max, Prime Video",Portugués,USA,Denis Villeneuve,NC-17,1011863,180.0,732.2,552.2,Robert Downey Jr.,Universal Pictures,1999-04-07,Un viaje fantástico a través de dimensiones inexploradas del universo.
16153,La red de la IA Vol. 4,Serie,"Aventura, Suspenso, Terror",1978,7.2,26,Disney+,Alemán,España,Quentin Tarantino,G,2186448,61.0,30.7,-30.3,Cillian Murphy,Walt Disney Studios,1978-11-23,Un viaje fantástico a través de dimensiones inexploradas del universo.
16154,El Resplandor del Monitor Vol. 1,Película,Romance,2015,9.6,124,HBO Max,Francés,México,Steven Spielberg,PG,686745,96.6,141.5,44.9,Meryl Streep,Netflix Studio,2015-04-18,Un análisis profundo del impacto social e histórico de las grandes eras.
16155,Stranger Code (2000),Película,"Fantasía, Drama",2000,6.6,151,"Prime Video, Netflix",Portugués,USA,Steven Spielberg,NC-17,2079371,62.1,107.5,45.4,Scarlett Johansson,A24,2000-08-17,Un misterio escalofriante que desvela secretos familiares ocultos.
16156,El Resplandor del Monitor Vol. 2,Película,Suspenso,2019,5.9,185,"HBO Max, Prime Video",Francés,España,Steven Spielberg,PG,809513,159.0,268.9,109.9,Joaquin Phoenix,Columbia Pictures,2019-09-02,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16157,El laberinto del silicio (1974),Serie,C.Ficción,1974,5.3,38,"HBO Max, Disney+",Portugués,México,Denis Villeneuve,PG,1846415,211.7,248.8,37.1,Leonardo DiCaprio,Columbia Pictures,1974-07-24,Un análisis profundo del impacto social e histórico de las grandes eras.
16158,Código de honor (1976),Serie,"Terror, Fantasía",1976,8.3,59,HBO Max,Español,Canadá,Hayao Miyazaki,G,2004903,143.5,556.9,413.4,Scarlett Johansson,Columbia Pictures,1976-09-08,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16159,Gladiador del backend Vol. 3,Película,"Documental, Romance",2007,6.2,90,"Prime Video, Disney+",Francés,Reino Unido,Denis Villeneuve,PG-13,1726237,220.2,539.6,319.4,Leonardo DiCaprio,Universal Pictures,2007-07-19,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16160,El laberinto del silicio Vol. 3,Película,"C.Ficción, Terror, Aventura",1989,6.1,118,Apple TV+,Alemán,Canadá,Quentin Tarantino,PG-13,456380,41.8,27.6,-14.2,Robert Downey Jr.,Walt Disney Studios,1989-06-26,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16161,Titanic: Bug Hundido Vol. 4,Serie,"Terror, Crimen",2010,8.5,47,Apple TV+,Portugués,Canadá,Quentin Tarantino,PG,123626,57.6,161.0,103.4,Christian Bale,Marvel Studios,2010-10-21,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16162,Búsqueda Binaria Vol. 3,Serie,"Terror, Aventura, C.Ficción",2005,9.2,56,HBO Max,Alemán,España,Denis Villeneuve,G,1637775,145.5,631.1,485.6,Tom Hanks,Walt Disney Studios,2005-03-09,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16163,Pulp Python (2026),Película,Romance,2026,9.1,86,"Disney+, Prime Video",Portugués,Francia,Steven Spielberg,NC-17,529940,121.8,472.4,350.6,Leonardo DiCaprio,Universal Pictures,2026-11-22,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16164,El Club de la Computación (2002),Película,"C.Ficción, Terror, Aventura",2002,5.2,172,Netflix,Alemán,USA,James Cameron,NC-17,1431180,138.9,452.6,313.7,Natalie Portman,Marvel Studios,2002-08-26,Un análisis profundo del impacto social e histórico de las grandes eras.
16165,La lista de bugs (1989),Serie,Documental,1989,7.0,63,HBO Max,Francés,USA,Guillermo del Toro,PG-13,2196129,35.2,73.0,37.8,Scarlett Johansson,Universal Pictures,1989-04-22,Un análisis profundo del impacto social e histórico de las grandes eras.
16166,Donut Chart Adventure Vol. 1,Serie,Documental,1994,7.0,62,"Disney+, Apple TV+",Portugués,Canadá,Martin Scorsese,PG-13,2382083,131.3,241.9,110.6,Natalie Portman,Netflix Studio,1994-06-16,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16167,La terminal de los secretos (2026),Serie,"Romance, Crimen, Documental",2026,4.6,58,"Netflix, HBO Max",Español,Reino Unido,Christopher Nolan,PG-13,1024512,156.3,230.5,74.2,Morgan Freeman,Marvel Studios,2026-05-27,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16168,Pulp Python Vol. 3,Película,"Suspenso, Fantasía, Terror",1989,7.1,144,"HBO Max, Apple TV+",Portugués,Francia,Christopher Nolan,NC-17,2464634,169.9,408.3,238.4,Leonardo DiCaprio,Netflix Studio,1989-11-06,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16169,Cazadores de código (1980),Serie,"Aventura, Acción, C.Ficción",1980,8.0,29,Prime Video,Alemán,España,Christopher Nolan,G,414795,190.3,684.2,493.9,Tom Hanks,Netflix Studio,1980-04-28,Un viaje fantástico a través de dimensiones inexploradas del universo.
16170,El Heatmap del Destino Vol. 1,Película,"Aventura, Terror",2003,9.7,119,HBO Max,Francés,Reino Unido,Steven Spielberg,G,2254837,149.2,343.0,193.8,Meryl Streep,Universal Pictures,2003-11-10,Un viaje fantástico a través de dimensiones inexploradas del universo.
16171,Parque de Servidores (2023),Serie,Fantasía,2023,7.7,64,Apple TV+,Inglés,Canadá,James Cameron,R,1676967,83.6,325.2,241.6,Scarlett Johansson,Netflix Studio,2023-07-08,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16172,El laberinto del silicio Vol. 3,Serie,"Crimen, C.Ficción, Acción",2021,6.1,51,Disney+,Inglés,España,Martin Scorsese,PG-13,1003044,182.8,499.3,316.5,Cillian Murphy,Columbia Pictures,2021-02-22,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16173,La red de la IA Vol. 2,Película,"Terror, Crimen, Fantasía",1974,8.3,109,Prime Video,Portugués,Francia,Martin Scorsese,NC-17,603677,153.7,478.8,325.1,Christian Bale,Marvel Studios,1974-11-20,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16174,El Resplandor del Monitor (1972),Película,Suspenso,1972,9.0,188,Netflix,Inglés,Francia,Steven Spielberg,R,267016,237.9,1054.4,816.5,Cillian Murphy,A24,1972-03-25,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16175,La vida en la nube Vol. 2,Serie,"Terror, Aventura",1988,2.4,55,"Apple TV+, Disney+",Español,España,Steven Spielberg,PG-13,2098555,12.2,22.3,10.1,Morgan Freeman,Columbia Pictures,1988-08-12,Un drama conmovedor que explora los límites de la mente y la tecnología.
16176,El despertar de la base de datos (2010),Película,"Romance, C.Ficción, Acción",2010,6.2,102,"Disney+, Netflix",Español,España,Hayao Miyazaki,R,792535,29.2,13.0,-16.2,Meryl Streep,A24,2010-03-08,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16177,Pandas salvajes Vol. 4,Película,Documental,1984,5.5,134,Netflix,Francés,Canadá,Guillermo del Toro,R,1498701,45.2,87.9,42.7,Robert Downey Jr.,Marvel Studios,1984-01-23,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16178,Crónicas de Git (1982),Serie,"C.Ficción, Acción, Suspenso",1982,9.1,37,"Disney+, Netflix",Inglés,USA,Quentin Tarantino,PG,764447,129.8,229.2,99.4,Robert Downey Jr.,Walt Disney Studios,1982-06-12,Un análisis profundo del impacto social e histórico de las grandes eras.
16179,El laberinto del silicio Vol. 1,Serie,Suspenso,2015,6.6,20,Disney+,Español,Reino Unido,Christopher Nolan,PG,176041,242.0,493.6,251.6,Morgan Freeman,Paramount Pictures,2015-06-18,Un drama conmovedor que explora los límites de la mente y la tecnología.
16180,Inception: Loop Infinito Vol. 4,Serie,"C.Ficción, Fantasía, Suspenso",2020,8.5,55,Netflix,Español,Canadá,Martin Scorsese,R,880822,176.1,619.2,443.1,Natalie Portman,Marvel Studios,2020-01-03,Un oscuro thriller policial que te mantendrá al filo de tu asiento.
16181,Crónicas de Git Vol. 1,Película,"Drama, Fantasía, Romance",1987,7.9,119,Prime Video,Español,Francia,Guillermo del Toro,G,1007842,128.1,224.8,96.7,Robert Downey Jr.,Warner Bros.,1987-07-18,Una comedia hilarante sobre las complejidades de la vida cotidiana.
16182,El rey algoritmo (2016),Película,C.Ficción,2016,7.1,115,Netflix,Inglés,Reino Unido,Denis Villeneuve,NC-17,1558207,154.7,600.6,445.9,Cillian Murphy,Walt Disney Studios,2016-10-05,Un viaje fantástico a través de dimensiones inexploradas del universo.
16183,Pandas salvajes (2009),Película,Suspenso,2009,9.4,186,"Apple TV+, Prime Video",Español,España,Guillermo del Toro,NC-17,264163,98.3,321.7,223.4,Joaquin Phoenix,Netflix Studio,2009-06-19,Un viaje fantástico a través de dimensiones inexploradas del universo.
16184,Matrix Reloaded in Python Vol. 3,Serie,"Terror, C.Ficción",1980,6.3,21,"Netflix, Prime Video",Alemán,USA,Steven Spielberg,G,724049,154.6,564.1,409.5,Morgan Freeman,Paramount Pictures,1980-04-08,Una emocionante aventura donde el destino de la humanidad pende de un hilo.
16185,Inception: Loop Infinito Vol. 2,Serie,"Crimen, Documental, Fantasía",1999,9.2,49,"Apple TV+, Netflix",Francés,Canadá,Christopher Nolan,PG,571619,62.5,108.2,45.7,Joaquin Phoenix,A24,1999-09-16,Un misterio escalofriante que desvela secretos familiares ocultos.
16186,La teoría de las bases de datos Vol. 2,Serie,Fantasía,1977,5.5,23,"Disney+, Apple TV+",Portugués,Reino Unido,Steven Spielberg,PG-13,407658,224.2,976.4,752.2,Matthew McConaughey,Paramount Pictures,1977-01-22,Un drama conmovedor que explora los límites de la mente y la tecnología.
16187,La casa de código Vol. 2,Película,"Comedia, Terror, Suspenso",2024,5.3,194,Apple TV+,Francés,Canadá,Guillermo del Toro,NC-17,1853711,84.2,209.6,125.4,Christian Bale,A24,2024-02-22,Una comedia hilarante sobre las complejidades de la vida cotidiana.
